Mouse,Genotype,Date,Selected Behavior,Fiber Connection,Sham,Total Time Spent In Stim (minutes),Left Turns,All Other,Locomotion,Right Turns,Face Groom,All Other Groom
AD6,D2,050923,Right Turn,Bilateral,n,29.92,169.74,1127.6999999999998,279.35,128.1,55.5,35.04
AD6,D2,051123,locomotion,Bilateral,n,29.99,1131.1999999999998,53.64,140.3,161.26,304.59000000000003,8.32
AD6,D2,051223,Face Groom,Bilateral,n,29.92,169.74,1127.6999999999998,279.35,128.1,55.5,35.04
AD6,D2,052223,Right Turn,Ipsilateral,n,30.06,1170.0,119.49,292.33,60.84,6.12,155.02
AD6,D2,052423,Right Turn,Contralateral,n,29.94,76.02,1416.96,113.10000000000001,72.91,64.68,52.440000000000005
AD6,D2,060723,Right Turn,Bilateral,y,30.03,1530.45,53.76,92.48,83.80000000000001,20.7,20.8
AD6,D2,060823,locomotion,Bilateral,y,29.59,1615.28,10.26,44.65,13.940000000000001,13.64,77.75999999999999
AD6,D2,061223,Face Groom,Bilateral,y,20.33,1144.26,32.6,6.3,11.4,7.199999999999999,18.0
AD6,D2,061523,Right Turn,Ipsilateral,y,29.11,1543.48,34.92,15.12,21.66,79.86,51.66
AD6,D2,071023,Right Turn,Contralateral,y,29.88,33.6,1705.6799999999998,28.8,21.25,2.1,1.65
AD6,D2,071823,Right Turn,Bilateral,y,30.01,1513.35,60.48,110.76,42.18,63.480000000000004,10.08
AD6,D2,072023,Right Turn,Bilateral,n,30.05,1472.25,127.60000000000001,86.24,72.22,36.0,8.8
AD6,D2,072423,locomotion,Bilateral,y,30.1,1398.1499999999999,95.75999999999999,180.18,91.97999999999999,35.25,4.94
AD6,D2,072723,locomotion,Bilateral,n,29.99,136.53,1478.7,82.4,69.72,25.3,6.5600000000000005
AD6,D2,100123,Face Groom,Bilateral,n,29.87,1357.4,94.76,195.64999999999998,91.96,15.99,36.38
AD6,D2,100423,Right Turn,Ipsilateral,n,29.99,1436.6399999999999,146.88,107.8,92.39999999999999,12.76,2.72
AD10,D1,060823,Right Turn,Bilateral,y,29.62,1490.0,26.25,169.84,40.86,27.929999999999996,22.47
AD10,D1,061523,Right Turn,Bilateral,n,29.75,1328.6,62.660000000000004,30.59,172.35,45.800000000000004,144.89999999999998
AD10,D1,062623,locomotion,Bilateral,n,29.97,1477.8,221.02,34.01,41.8,20.130000000000003,3.38
AD10,D1,062723,Face Groom,Bilateral,n,29.51,1305.36,157.89,26.8,128.51999999999998,19.08,133.10000000000002
AD10,D1,062923,locomotion,Bilateral,y,29.59,86.24,1359.49,12.959999999999999,29.92,104.25,182.56000000000003
AD10,D1,071023,Face Groom,Bilateral,y,29.94,66.5,1279.78,18.72,14.07,179.55,237.64000000000001
AD10,D1,071123,Right Turn,Ipsilateral,n,27.31,1365.84,20.9,38.64,105.91,17.009999999999998,90.48
AD10,D1,071323,Right Turn,Ipsilateral,y,29.87,1306.96,33.39,265.31,109.2,28.060000000000002,49.5
AD10,D1,071423,Right Turn,Contralateral,n,29.25,1426.36,20.200000000000003,90.24,31.35,109.98,76.83
AD10,D1,071723,Right Turn,Contralateral,y,29.86,1281.3899999999999,19.76,227.85,161.46,24.86,76.0
AD10,D1,071923,Right Turn,Bilateral,y,29.77,145.2,1399.25,39.56,88.0,33.6,80.36999999999999
AD10,D1,072423,Right Turn,Bilateral,n,29.87,1346.8,21.0,22.05,84.28,106.95,210.98000000000002
AD10,D1,072723,locomotion,Bilateral,n,29.99,136.53,1478.7,82.4,69.72,25.3,6.5600000000000005
AD10,D1,100123,Face Groom,Bilateral,n,29.82,1271.8999999999999,341.19,70.08,79.75,20.75,5.58
AD11,D1,051123,Right Turn,Bilateral,n,29.89,1492.98,82.32,87.11999999999999,82.5,26.279999999999998,22.0
AD11,D1,051223,locomotion,Bilateral,n,29.93,1365.52,90.2,89.60000000000001,73.15,31.2,146.19
AD11,D1,051723,Face Groom,Bilateral,n,29.93,1365.52,90.2,89.60000000000001,73.15,31.2,146.19
AD11,D1,052223,Right Turn,Ipsilateral,n,30.09,1417.29,91.84,71.82000000000001,134.64,68.21,21.32
AD11,D1,060823,Right Turn,Bilateral,y,29.94,108.36,1477.15,57.57,67.62,55.25,30.45
AD11,D1,061223,locomotion,Bilateral,y,29.96,1496.04,40.7,70.18,122.99999999999999,46.74,21.200000000000003
AD11,D1,062923,Face Groom,Bilateral,y,29.76,1481.29,45.36,125.75999999999999,60.5,41.28,31.24
AD11,D1,071023,Right Turn,Ipsilateral,y,29.95,1576.2,18.04,32.2,76.05,40.48,54.28
AD11,D1,071123,Right Turn,Contralateral,n,29.6,13.280000000000001,1564.68,40.92,72.36,19.6,65.12
AD11,D1,071323,Right Turn,Contralateral,y,29.94,1613.9299999999998,55.86,17.400000000000002,25.53,34.58,49.019999999999996
AD11,D1,072023,Right Turn,Bilateral,n,29.63,1630.86,11.9,62.93,35.2,27.5,9.120000000000001
AD11,D1,072423,Right Turn,Bilateral,y,29.93,10.370000000000001,1590.1599999999999,29.759999999999998,16.0,117.04,32.400000000000006
AD11,D1,072523,locomotion,Bilateral,n,29.76,14.0,1535.76,4.5600000000000005,208.95,3.2,18.849999999999998
AD11,D1,072823,locomotion,Bilateral,y,28.83,74.34,1509.44,83.22,10.78,41.730000000000004,10.200000000000001
AD13,D2,072123,Right Turn,Bilateral,y,30.08,1294.0,199.79999999999998,118.22999999999999,86.72999999999999,28.200000000000003,78.0
AD13,D2,072423,Right Turn,Bilateral,n,30.02,81.48,1383.2,17.0,100.0,72.45,146.88
AD13,D2,072523,locomotion,Bilateral,y,29.94,1327.7499999999998,24.6,74.06,87.4,198.23,84.51
AD13,D2,072823,locomotion,Bilateral,n,29.96,1473.84,31.0,124.44,56.6,84.01,27.9
AD13,D2,100423,Face Groom,Bilateral,n,30.04,1476.8000000000002,77.4,139.68,51.0,33.35,23.92
P22,D1,052423,Right Turn,Bilateral,n,30.11,1166.79,108.78,131.75,62.82,155.96,180.8
P22,D1,061223,Right Turn,Contralateral,y,30.14,120.12,1168.05,105.6,104.26,186.10999999999999,124.3
P22,D1,062923,locomotion,Bilateral,n,30.14,1043.71,304.56,192.6,117.81,60.42,89.44
P22,D1,071123,locomotion,Bilateral,y,29.96,1258.28,113.60000000000001,146.96,156.48,87.36000000000001,34.65
P22,D1,071223,Face Groom,Bilateral,y,30.03,1202.03,106.80000000000001,119.5,142.17,53.9,177.14000000000001
P22,D1,071323,Face Groom,Bilateral,y,29.79,114.24,1222.13,97.44000000000001,132.4,180.9,40.08
P22,D1,071423,Right Turn,Ipsilateral,n,29.9,1308.3,102.42,138.24,120.96,87.11,37.0
P22,D1,071723,Right Turn,Ipsilateral,y,30.1,1266.3700000000001,86.19000000000001,93.94,109.4,78.75,171.6
P22,D1,071823,Right Turn,Contralateral,n,29.98,1208.25,132.75,99.60000000000001,113.2,169.56,75.25
P22,D1,072023,Right Turn,Bilateral,n,29.91,1208.01,155.20000000000002,100.56,129.58,109.2,92.14
P22,D1,072123,Right Turn,Bilateral,y,30.0,108.08000000000001,1294.48,71.28,101.60000000000001,67.1,157.17
P22,D1,072523,locomotion,Bilateral,n,29.93,1158.84,62.46,108.75,95.2,69.36,301.44
P22,D1,072823,locomotion,Bilateral,y,29.92,1340.27,78.47,73.0,78.72,48.059999999999995,176.70999999999998
P22,D1,0607223,Right Turn,Bilateral,y,30.04,133.56,1237.6000000000001,114.18,93.29,106.92,117.11999999999999
